config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,label
BenignDiverse,2,av2,10,0.1,8.991663831818176e-05,1.5096898936665502e-12,500.0,1,111,,,0.24999999999999895,0,0,0
BenignDiverse,2,av2,11,0.11,8.985347925454548e-05,1.2828841374349828e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,2,av2,12,0.12,9.002768214545449e-05,1.3421081255483906e-12,500.0,1,111,,,0.24999999999998612,0,0,0
BenignDiverse,2,av2,13,0.13,8.999266702727266e-05,1.4124983320900344e-12,500.0,1,111,,,0.24999999999997224,0,0,0
BenignDiverse,2,av2,14,0.14,8.975229345045037e-05,1.2468365780483902e-12,500.0,1,112,,,0.250000000000025,0,0,0
BenignDiverse,2,radarNode,0,0.0,0.0005012282881578947,8.218979781096496e-12,64.0,1,20,3.0658257916666667,8.311673803231786,0.2500000000000001,2.0,0,0
BenignDiverse,2,radarNode,1,0.01,0.0004995496624210526,8.253548660905235e-12,64.0,1,20,,,0.24999999999999986,0,0,0
BenignDiverse,2,radarNode,2,0.02,0.0004999484448421053,8.041981270317269e-12,64.0,1,20,,,0.2500000000000003,0,0,0
BenignDiverse,2,radarNode,3,0.03,0.0005008926546842103,7.348265708436172e-12,64.0,1,20,,,0.25000000000000017,0,0,0
BenignDiverse,2,radarNode,4,0.04,0.0004994021864210526,1.0037249530204723e-11,64.0,1,20,,,0.25000000000000017,0,0,0
BenignDiverse,2,radarNode,5,0.05,0.0005001809641578949,8.754534128789125e-12,64.0,1,20,,,0.25000000000000017,0,0,0
BenignDiverse,2,radarNode,6,0.06,0.0004991709958947363,9.206926921768285e-12,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,2,radarNode,7,0.07,0.000500299721684211,1.29413496666267e-11,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,2,radarNode,8,0.08,0.000499660476368421,8.181178790907713e-12,64.0,1,20,,,0.25000000000000033,0,0,0
